Number,Count
1,46
2,46
3,47
4,48
5,48
6,47
7,48
8,46
9,49
10,44
11,43
12,42
13,46
14,44
15,42
16,42
17,43
18,45
19,41
20,41
21,43
22,42
23,38
24,41
25,40
26,39
27,42
28,42
29,42
30,41
31,44
32,42
33,41
34,43
35,42
36,41
37,40
38,41
39,42
40,40
41,38
42,40
43,38
44,41
45,42
46,40
47,37
48,42
49,38
50,41
51,39
52,40
53,40
54,40
55,39
56,36
57,38
58,39
59,38
60,40
61,39
62,41
63,38
64,41
65,42
66,39
67,40
68,40
69,39
70,41
71,39
72,41
73,42
74,43
75,41
76,40
77,42
78,42
79,41
80,40
81,39
82,38
83,41
84,42
85,41
86,41
87,41
88,40
89,41
90,39
91,41
92,39
93,40
94,40
95,40
96,40
97,40
98,43
99,42
100,39
101,38
102,39
103,39
104,39
105,40
106,40
107,41
108,39
109,39
110,40
111,39
112,40
113,40
114,39
115,40
116,42
117,40
118,40
119,42
120,41
121,39
122,41
123,41
124,42
125,40
126,41
127,40
128,41
129,43
130,40
131,43
132,43
133,44
134,41
135,41
136,40
137,39
138,43
139,41
140,38
141,40
142,40
143,41
144,42
145,41
146,41
147,43
148,44
149,45
150,43
151,41
152,41
153,41
154,43
155,43
156,44
157,48
158,42
159,42
160,42
161,43
162,48
163,41
164,41
165,41
166,45
167,43
168,44
169,42
170,42
171,43
172,44
173,43
174,42
175,44
176,43
177,44
178,43
179,44
180,43
181,43
182,42
183,43
184,43
185,44
186,45
187,46
188,44
189,45
190,44
191,43
192,43
193,46
194,44
195,44
196,46
197,44
198,44
199,43
200,46
201,46
202,48
203,47
204,47
205,45
206,45
207,46
208,44
209,46
210,44
211,46
212,45
213,47
214,46
215,46
216,46
217,46
218,49
219,44
220,47
221,47
222,48
223,48
224,47
225,46
226,43
227,42
228,43
229,41
230,44
231,44
232,44
233,45
234,47
235,44
236,41
237,43
238,41
239,44
240,42
241,44
242,44
243,45
244,45
245,43
246,46
247,46
248,46
249,47
250,46
251,44
252,45
253,45
254,43
255,44
256,44
257,46
258,48
259,46
260,44
261,49
262,46
263,47
264,48
265,50
266,52
267,47
268,48
269,48
270,49
271,47
272,48
273,48
274,47
275,48
276,50
277,47
278,48
279,51
280,50
281,48
282,48
283,44
284,47
285,43
286,46
287,43
288,43
289,44
290,45
291,44
292,43
293,45
294,43
295,48
296,47
297,46
298,45
299,46
300,47
301,49
302,45
303,49
304,49
305,49
306,48
307,49
308,47
309,49
310,45
311,44
312,46
313,44
314,47
315,48
316,46
317,48
318,47
319,46
320,47
321,48
322,48
323,47
324,46
325,45
326,47
327,47
328,45
329,48
330,48
331,46
332,49
333,48
334,50
335,50
336,47
337,51
338,50
339,49
340,49
341,50
342,50
343,49
344,49
345,49
346,49
347,49
348,51
349,47
350,49
351,52
352,53
353,53
354,52
355,51
356,50
357,52
358,51
359,52
360,54
361,53
362,50
363,50
364,50
365,49
366,52
367,51
368,51
369,51
370,51
371,50
372,51
373,51
374,50
375,51
376,49
377,48
378,47
379,48
380,52
381,49
382,50
383,49
384,49
385,47
386,47
387,52
388,48
389,49
390,50
391,52
392,53
393,49
394,48
395,52
396,51
397,51
398,51
399,48
400,49
401,49
402,47
403,45
404,51
405,49
406,48
407,48
408,48
409,49
410,47
411,49
412,52
413,46
414,46
415,47
416,50
417,51
418,52
419,51
420,54
421,54
422,51
423,55
424,53
425,52
426,51
427,51
428,51
429,50
430,51
431,50
432,49
433,49
434,50
435,50
436,50
437,54
438,48
439,50
440,52
441,49
442,50
443,47
444,50
445,49
446,51
447,50
448,52
449,52
450,49
451,51
452,49
453,51
454,52
455,51
456,47
457,51
458,47
459,51
460,49
461,45
462,47
463,48
464,46
465,50
466,49
467,47
468,48
469,50
470,45
471,46
472,47
473,49
474,46
475,47
476,46
477,48
478,46
479,51
480,48
481,46
482,44
483,48
484,47
485,48
486,47
487,46
488,46
489,46
490,47
491,50
492,49
493,52
494,48
495,46
496,48
497,46
498,46
499,48
500,47
501,46
502,47
503,46
504,47
505,47
506,48
507,48
508,47
509,49
510,47
511,47
512,46
513,47
514,46
515,44
516,45
517,47
518,46
519,47
520,41
521,46
522,45
523,45
524,46
525,45
526,49
527,48
528,47
529,49
530,49
531,49
532,48
533,50
534,45
535,51
536,48
537,43
538,44
539,46
540,49
541,48
542,41
543,45
544,45
545,45
546,46
547,47
548,46
549,43
550,45
551,39
552,41
553,43
554,42
555,42
556,45
557,42
558,39
559,43
560,42
561,43
562,42
563,43
564,40
565,42
566,42
567,43
568,43
569,43
570,44
571,42
572,41
573,42
574,43
575,43
576,42
577,42
578,44
579,44
580,42
581,45
582,46
583,44
584,44
585,45
586,45
587,42
588,41
589,43
590,42
591,40
592,40
593,40
594,41
595,40
596,41
597,41
598,42
599,42
600,40
601,38
602,38
603,41
604,41
605,41
606,41
607,45
608,44
609,45
610,43
611,44
612,48
613,43
614,40
615,41
616,41
617,41
618,44
619,47
620,47
621,46
622,48
623,43
624,47
625,47
626,47
627,41
628,43
629,42
630,45
631,44
632,45
633,43
634,42
635,45
636,46
637,42
638,46
639,49
640,46
641,42
642,44
643,47
644,45
645,46
646,47
647,45
648,44
649,45
650,41
651,37
652,41
653,38
654,40
655,41
656,44
657,44
658,42
659,42
660,38
661,44
662,40
663,42
664,42
665,40
666,42
667,42
668,43
669,42
670,39
671,40
672,42
673,40
674,38
675,42
676,43
677,40
678,39
679,40
680,43
681,41
682,45
683,47
684,42
685,47
686,44
687,41
688,43
689,42
690,42
691,39
692,41
693,41
694,44
695,39
696,42
697,43
698,42
699,42
700,42
701,41
702,43
703,40
704,42
705,42
706,39
707,41
708,41
709,41
710,41
711,40
712,40
713,40
714,42
715,42
716,41
717,41
718,39
719,40
720,41
721,43
722,43
723,43
724,42
725,43
726,43
727,42
728,42
729,41
730,45
731,41
732,44
733,44
734,43
735,42
736,44
737,42
738,42
739,44
740,38
741,37
742,41
743,42
744,41
745,43
746,41
747,38
748,37
749,36
750,40
751,38
752,40
753,40
754,41
755,40
756,42
757,41
758,40
759,40
760,40
761,39
762,39
763,43
764,43
765,44
766,42
767,43
768,39
769,42
770,43
771,42
772,45
773,46
774,45
775,45
776,42
777,45
778,42
779,42
780,40
781,44
782,42
783,44
784,45
785,45
786,43
787,46
788,48
789,46
790,47
791,46
792,48
793,50
794,47
795,45
796,42
797,48
798,46
799,46
800,45
801,44
802,43
803,44
804,45
805,41
806,43
807,42
808,42
809,42
810,45
811,43
812,47
813,46
814,44
815,42
816,41
817,41
818,41
819,43
820,43
821,43
822,43
823,40
824,42
825,43
826,47
827,46
828,44
829,44
830,46
831,46
832,45
833,48
834,46
835,47
836,47
837,44
838,44
839,43
840,45
841,44
842,43
843,42
844,44
845,46
846,45
847,43
848,43
849,43
850,44
851,47
852,47
853,46
854,47
855,46
856,44
857,43
858,47
859,45
860,47
861,44
862,45
863,44
864,43
865,46
866,43
867,41
868,44
869,43
870,44
871,43
872,44
873,48
874,47
875,47
876,48
877,48
878,46
879,46
880,46
881,45
882,47
883,47
884,46
885,48
886,47
887,48
888,49
889,49
890,51
891,47
892,49
893,48
894,51
895,50
896,52
897,53
898,50
899,53
900,50
901,49
902,48
903,50
904,51
905,47
906,48
907,50
908,50
909,47
910,51
911,52
912,51
913,49
914,49
915,49
916,50
917,48
918,48
919,45
920,50
921,53
922,51
923,53
924,53
925,52
926,53
927,52
928,53
929,51
930,52
931,49
932,49
933,48
934,48
935,49
936,47
937,48
938,50
939,48
940,48
941,49
942,49
943,50
944,48
945,50
946,50
947,51
948,51
949,49
950,49
951,49
952,49
953,50
954,49
955,52
956,48
957,54
958,53
959,48
960,51
961,53
962,54
963,50
964,52
965,55
966,52
967,54
968,53
969,56
970,57
971,54
972,53
973,52
974,49
975,49
976,52
977,49
978,50
979,50
980,50
981,49
982,54
983,51
984,48
985,53
986,54
987,54
988,51
989,51
990,49
991,50
992,55
993,56
994,55
995,55
996,59
997,57
998,54
999,58
1000,56
1001,53
1002,55
1003,53
1004,55
1005,55
1006,54
1007,53
1008,54
1009,55
1010,53
1011,58
1012,58
1013,53
1014,54
1015,55
1016,52
1017,53
1018,57
1019,57
1020,57
1021,57
1022,54
1023,54
1024,56
1025,56
1026,56
1027,56
1028,57
1029,58
1030,56
1031,55
1032,56
1033,54
1034,55
1035,53
1036,53
1037,50
1038,54
1039,55
1040,53
1041,52
1042,52
1043,55
1044,50
1045,51
1046,49
1047,50
1048,50
1049,50
1050,53
